Timestamp	Open	High	Low	Close	Volume
2024-11-14 14:01:00	1.05302	1.05355	1.05299	1.05341	1026
2024-11-14 14:02:00	1.05341	1.05378	1.05337	1.05356	889
2024-11-14 14:03:00	1.05359	1.05368	1.05335	1.05361	1012
2024-11-14 14:04:00	1.0536	1.05376	1.05354	1.05376	512
2024-11-14 14:05:00	1.05377	1.05386	1.05352	1.05372	610
2024-11-14 14:06:00	1.05371	1.05402	1.05347	1.05389	1036
2024-11-14 14:07:00	1.05393	1.05409	1.05393	1.05399	763
2024-11-14 14:08:00	1.05401	1.05402	1.05362	1.05394	715
2024-11-14 14:09:00	1.05393	1.05403	1.05383	1.05383	469
2024-11-14 14:10:00	1.05383	1.05383	1.0536	1.05369	433
2024-11-14 14:11:00	1.0537	1.05393	1.05369	1.05378	345
2024-11-14 14:12:00	1.05381	1.05397	1.0537	1.05395	493
2024-11-14 14:13:00	1.05394	1.05432	1.05392	1.05417	479
2024-11-14 14:14:00	1.05417	1.05444	1.05417	1.05427	875
2024-11-14 14:15:00	1.05428	1.05464	1.05423	1.05458	589
2024-11-14 14:16:00	1.05458	1.0546	1.05438	1.05449	815
2024-11-14 14:17:00	1.05448	1.05459	1.05436	1.05459	597
2024-11-14 14:18:00	1.05457	1.05482	1.05447	1.05461	697
2024-11-14 14:19:00	1.0546	1.05513	1.05457	1.05499	907
2024-11-14 14:20:00	1.05498	1.05506	1.05471	1.05475	700
2024-11-14 14:21:00	1.05474	1.0548	1.05451	1.05451	359
2024-11-14 14:22:00	1.0545	1.05462	1.05433	1.05439	547
2024-11-14 14:23:00	1.05441	1.05474	1.05441	1.05473	652
2024-11-14 14:24:00	1.05472	1.0548	1.05462	1.05473	519
2024-11-14 14:25:00	1.05477	1.05513	1.05477	1.05512	757
2024-11-14 14:26:00	1.05513	1.05532	1.05497	1.05529	546
2024-11-14 14:27:00	1.0553	1.05542	1.05529	1.05542	618
2024-11-14 14:28:00	1.05541	1.05566	1.05531	1.05559	326
2024-11-14 14:29:00	1.05558	1.05558	1.05518	1.05522	471
2024-11-14 14:30:00	1.05523	1.05554	1.05518	1.05548	539
2024-11-14 14:31:00	1.05546	1.0555	1.05508	1.05542	587
2024-11-14 14:32:00	1.05542	1.05548	1.05501	1.05512	367
2024-11-14 14:33:00	1.05513	1.05541	1.05508	1.05522	459
2024-11-14 14:34:00	1.05522	1.05545	1.05518	1.05543	397
2024-11-14 14:35:00	1.05545	1.05567	1.05537	1.05556	458
2024-11-14 14:36:00	1.05555	1.05582	1.05542	1.05574	485
2024-11-14 14:37:00	1.05574	1.05597	1.05567	1.05597	457
2024-11-14 14:38:00	1.05597	1.05689	1.05596	1.05665	620
2024-11-14 14:39:00	1.05667	1.0567	1.05624	1.05666	532
2024-11-14 14:40:00	1.05667	1.05669	1.05633	1.05645	478
2024-11-14 14:41:00	1.05647	1.05649	1.05566	1.05584	340
2024-11-14 14:42:00	1.05585	1.05599	1.05569	1.05573	363
2024-11-14 14:43:00	1.05575	1.05583	1.0556	1.05583	198
2024-11-14 14:44:00	1.05582	1.05593	1.0556	1.05564	278
2024-11-14 14:45:00	1.05563	1.05588	1.05558	1.05564	378
2024-11-14 14:46:00	1.05563	1.05578	1.05557	1.05562	412
2024-11-14 14:47:00	1.05563	1.05568	1.05539	1.05557	617
2024-11-14 14:48:00	1.05557	1.05572	1.05546	1.05563	572
2024-11-14 14:49:00	1.05565	1.05577	1.05544	1.05561	766
2024-11-14 14:50:00	1.05561	1.05577	1.05547	1.05572	560
2024-11-14 14:51:00	1.05571	1.05573	1.05535	1.05536	563
2024-11-14 14:52:00	1.05537	1.05539	1.0551	1.05517	463
2024-11-14 14:53:00	1.05517	1.05531	1.05514	1.05522	739
2024-11-14 14:54:00	1.05521	1.05532	1.05513	1.05517	631
2024-11-14 14:55:00	1.05517	1.05523	1.05501	1.05506	678
2024-11-14 14:56:00	1.05505	1.05509	1.05477	1.05497	849
2024-11-14 14:57:00	1.05497	1.05525	1.05496	1.05517	529
2024-11-14 14:58:00	1.05519	1.05533	1.05512	1.05528	443
2024-11-14 14:59:00	1.05529	1.05536	1.0552	1.05527	326
2024-11-14 15:00:00	1.05528	1.05561	1.05528	1.05537	600
2024-11-14 15:01:00	1.05535	1.05549	1.05527	1.05543	259
2024-11-14 15:02:00	1.05544	1.05577	1.05544	1.0556	582
2024-11-14 15:03:00	1.05561	1.05562	1.05528	1.05543	405
2024-11-14 15:04:00	1.05542	1.05573	1.05542	1.05571	360
2024-11-14 15:05:00	1.05572	1.05589	1.05571	1.05579	190
2024-11-14 15:06:00	1.05582	1.05583	1.05557	1.05559	354
2024-11-14 15:07:00	1.05561	1.05627	1.05558	1.05621	477
2024-11-14 15:08:00	1.05622	1.05643	1.05622	1.05625	459
2024-11-14 15:09:00	1.05624	1.05639	1.05578	1.05591	575
2024-11-14 15:10:00	1.0559	1.0563	1.05586	1.05628	471
2024-11-14 15:11:00	1.05629	1.05666	1.05618	1.05658	542
