Timestamp	Open	High	Low	Close	Volume
2017-05-05 14:30:00	0.74049	0.74065	0.74007	0.74057	3769
2017-05-05 15:00:00	0.74058	0.74086	0.74042	0.74078	2775
2017-05-05 15:30:00	0.7408	0.74174	0.74072	0.74128	2196
2017-05-05 16:00:00	0.74128	0.7415	0.74106	0.74116	2479
2017-05-05 16:30:00	0.74116	0.7414	0.74095	0.7411	2520
2017-05-05 17:00:00	0.74111	0.7414	0.74097	0.74131	2009
2017-05-05 17:30:00	0.74131	0.74154	0.74125	0.74149	1904
2017-05-05 18:00:00	0.74148	0.74153	0.7411	0.74133	2364
2017-05-05 18:30:00	0.74132	0.74161	0.7412	0.74131	1791
2017-05-05 19:00:00	0.74134	0.74195	0.74134	0.74194	2328
2017-05-05 19:30:00	0.74193	0.74259	0.74186	0.74217	1788
2017-05-05 20:00:00	0.74218	0.74259	0.74205	0.74206	2327
2017-05-05 20:30:00	0.74206	0.74234	0.74142	0.74189	2533
2017-05-07 21:00:00	0.7411	0.74129	0.74088	0.7412	523
2017-05-07 21:30:00	0.7412	0.74131	0.74109	0.74109	340
2017-05-07 22:00:00	0.74109	0.74129	0.74046	0.74086	1180
2017-05-07 22:30:00	0.74088	0.74141	0.74085	0.74141	1103
2017-05-07 23:00:00	0.74139	0.74192	0.74135	0.74146	1847
2017-05-07 23:30:00	0.74146	0.74156	0.74126	0.7415	1830
2017-05-08 00:00:00	0.74149	0.74151	0.73983	0.74005	2649
2017-05-08 00:30:00	0.74005	0.74091	0.74004	0.74035	2580
2017-05-08 01:00:00	0.74037	0.74059	0.74006	0.74034	2791
2017-05-08 01:30:00	0.74032	0.74035	0.73858	0.73915	3680
2017-05-08 02:00:00	0.73916	0.73953	0.73899	0.73952	1762
2017-05-08 02:30:00	0.73952	0.74015	0.73948	0.73978	1972
2017-05-08 03:00:00	0.73978	0.73987	0.73922	0.73933	2052
2017-05-08 03:30:00	0.73933	0.73999	0.73929	0.73978	2357
2017-05-08 04:00:00	0.73978	0.74017	0.73967	0.73998	1415
2017-05-08 04:30:00	0.73998	0.7406	0.73987	0.74026	2349
2017-05-08 05:00:00	0.74025	0.74075	0.74016	0.74056	1753
2017-05-08 05:30:00	0.74054	0.74163	0.74035	0.74138	2684
2017-05-08 06:00:00	0.74139	0.74153	0.74075	0.74091	2187
2017-05-08 06:30:00	0.74091	0.74091	0.74026	0.74037	2499
2017-05-08 07:00:00	0.74039	0.74048	0.73962	0.7402	2870
2017-05-08 07:30:00	0.74021	0.74052	0.73958	0.74032	3040
2017-05-08 08:00:00	0.74032	0.74244	0.74026	742	2875
2017-05-08 08:30:00	0.74199	0.74205	0.74148	0.7416	2586
2017-05-08 09:00:00	0.7416	0.74168	0.74054	0.74081	2249
2017-05-08 09:30:00	0.74082	0.74105	0.74018	0.74081	2641
