Timestamp	Open	High	Low	Close	Volume
2022-01-14 00:00:00	1.14564	1.14586	1.14511	1.14563	2082
2022-01-14 01:00:00	1.14563	1.14681	1.1456	1.14659	3406
2022-01-14 02:00:00	1.1466	1.14712	1.14624	1.14712	2572
2022-01-14 03:00:00	1.14711	1.14757	1.14689	1.14736	2177
2022-01-14 04:00:00	1.14735	1.14765	1.1471	1.14736	1117
2022-01-14 05:00:00	1.14736	1.14827	1.14735	1.14787	1571
2022-01-14 06:00:00	1.1479	1.14806	1.1469	1.14697	2161
2022-01-14 07:00:00	1.14696	1.14721	1.14601	1.14657	3359
2022-01-14 08:00:00	1.14655	1.14746	1.14623	1.14681	5249
2022-01-14 09:00:00	1.14682	1.1469	1.14573	1.14581	5131
2022-01-14 10:00:00	1.14581	1.14609	1.1454	1.14568	3121
2022-01-14 11:00:00	1.14566	1.14591	1.14483	1.14518	3441
2022-01-14 12:00:00	1.14518	1.1456	1.14419	1.14436	4503
2022-01-14 13:00:00	1.14437	1.14551	1.14333	1.1438	7423
2022-01-14 14:00:00	1.14381	1.14498	1.14299	1.14418	7576
2022-01-14 15:00:00	1.14418	1.14424	1.14237	1.14331	7726
2022-01-14 16:00:00	1.1433	1.14357	1.1409	1.14143	4259
2022-01-14 17:00:00	1.14142	1.14142	1.13984	1.14019	3051
2022-01-14 18:00:00	1.1402	1.14112	1.14012	1.14096	1466
2022-01-14 19:00:00	1.14097	1.14176	1.14067	1.14151	1515
2022-01-14 20:00:00	1.14151	1.14176	1.14131	1.14147	1165
2022-01-14 21:00:00	1.14148	1.14167	1.1409	1.1409	1056
2022-01-16 22:00:00	1.14118	1.14155	1.14114	1.14154	663
2022-01-16 23:00:00	1.14153	1.14156	1.14056	1.14112	1992
2022-01-17 00:00:00	1.14111	1.14117	1.14033	1.14075	1626
2022-01-17 01:00:00	1.14076	1.14086	1.14	1.14044	2234
2022-01-17 02:00:00	1.14044	1.14177	1.14037	1.14157	1707
2022-01-17 03:00:00	1.14158	1.14196	1.14143	1.14182	858
2022-01-17 04:00:00	1.14182	1.14212	1.14162	1.14188	839
2022-01-17 05:00:00	1.14191	1.14224	1.14165	1.14189	983
2022-01-17 06:00:00	1.1419	1.14205	1.14119	1.14124	1051
2022-01-17 07:00:00	1.14124	1.14279	1.14122	1.1425	2477
2022-01-17 08:00:00	1.14252	1.14344	1.14215	1.14282	3971
2022-01-17 09:00:00	1.14283	1.14329	1.14169	1.14238	4270
2022-01-17 10:00:00	1.14237	1.14255	1.14148	1.14199	2931
2022-01-17 11:00:00	1.14198	1.14265	1.14062	1.14141	4040
2022-01-17 12:00:00	1.14141	1.14165	1.13951	1.13963	3615
2022-01-17 13:00:00	1.13963	1.1406	1.13917	1.14015	4205
2022-01-17 14:00:00	1.14014	1.14146	1.13955	1.14114	4406
2022-01-17 15:00:00	1.14116	1.14116	1.13969	1.14038	3059
