	winter	trans	summer	mean	std
0	-0.865205860407795	-0.5904489944393536	-0.5014160517871611	10152.255269373552	5107.137802067282
1	0.18976528614131505	0.1129268718482509	0.13136448428037623	10152.255269373552	5107.137802067282
2	-0.173174021148517	-0.24914819474540295	-0.259081641313102	10152.255269373552	5107.137802067282
3	-0.11805237433493476	-0.1594230978470551	-0.1926177400359831	10152.255269373552	5107.137802067282
4	-0.14433956549667837	-0.1413456840402455	-0.05379521474921167	10152.255269373552	5107.137802067282
5	0.11041379406488816	0.15245148603897085	0.28610639620980216	10152.255269373552	5107.137802067282
6	0.22757330038319046	0.34259566548470854	1.0989382879015839	10152.255269373552	5107.137802067282
7	0.8098561933874153	1.0464357967359605	0.8484264240044335	10152.255269373552	5107.137802067282
8	0.7129127297186207	0.7347389001074118	-0.2647538714869764	10152.255269373552	5107.137802067282
9	-0.25346026911887054	-0.3460964528634003	-0.29059148547439817	10152.255269373552	5107.137802067282
10	-0.24955735657023073	-0.19572077207943073	-0.24001615623760586	10152.255269373552	5107.137802067282
11	-0.15521511258678505	-0.08398190917932058	0.1293409670688177	10152.255269373552	5107.137802067282
12	0.16022920491167203	0.8974833066243999	1.0205072448296166	10152.255269373552	5107.137802067282
13	0.9771821896018582	0.19769577669499983	0.2574256727370674	10152.255269373552	5107.137802067282
14	0.22243265948354507	0.002789171039265792	0.29807818769877104	10152.255269373552	5107.137802067282
15	0.212766198232601	-0.37307054731599765	-1.0085759178524631	10152.255269373552	5107.137802067282
16	-0.8881200642283501	-0.5151891227424077	-0.98574056125875	10152.255269373552	5107.137802067282
17	-0.7936035016371755	-0.6603669681710591	-0.3468081742962499	10152.255269373552	5107.137802067282
18	-0.30089175419388214	0.08148726014367752	0.014398061272346163	10152.255269373552	5107.137802067282
19	-0.019136331903637283	-0.34480389234748954	-0.24885239547150378	10152.255269373552	5107.137802067282
20	-0.24756343547228365	-0.9404901438165989	-0.801580726767692	10152.255269373552	5107.137802067282
21	-0.6780101831301373	-0.46582955715030594	-0.435728353261881	10152.255269373552	5107.137802067282
22	-0.25243882225198644	0.193773877187698	0.25297686887132276	10152.255269373552	5107.137802067282
23	0.26530410807974203	0.13515798660338496	0.14530367464730798	10152.255269373552	5107.137802067282
