dataspan=99900
chval_th (change value tresholds) 1-20 each block


WINDOW / BOUNDDIST: 14 / 18 

chwin: 2
EURUSD  M1 | 99900  (-0) | normal | Trades: 38594
EURUSD  M1 | 99900  (-0) | normal | Trades: 37697
EURUSD  M1 | 99900  (-0) | normal | Trades: 36748
EURUSD  M1 | 99900  (-0) | normal | Trades: 35644
EURUSD  M1 | 99900  (-0) | normal | Trades: 34482
EURUSD  M1 | 99900  (-0) | normal | Trades: 33272
EURUSD  M1 | 99900  (-0) | normal | Trades: 31992
EURUSD  M1 | 99900  (-0) | normal | Trades: 30610
EURUSD  M1 | 99900  (-0) | normal | Trades: 29167
EURUSD  M1 | 99900  (-0) | normal | Trades: 27735
EURUSD  M1 | 99900  (-0) | normal | Trades: 26212
EURUSD  M1 | 99900  (-0) | normal | Trades: 24680
EURUSD  M1 | 99900  (-0) | normal | Trades: 23112
EURUSD  M1 | 99900  (-0) | normal | Trades: 21586
EURUSD  M1 | 99900  (-0) | normal | Trades: 20124
EURUSD  M1 | 99900  (-0) | normal | Trades: 18689
EURUSD  M1 | 99900  (-0) | normal | Trades: 17262
EURUSD  M1 | 99900  (-0) | normal | Trades: 15793
-----------------------------------
