Optimization Loop ID:  "A"
macd_chwin: 4        (dataspan: 40000)
EURUSD  M1 | 40000  (-0) | normal | Trades: 5487
EURUSD  M1 | 40000  (-0) | normal | Trades: 5313
EURUSD  M1 | 40000  (-0) | normal | Trades: 5173
EURUSD  M1 | 40000  (-0) | normal | Trades: 5645
EURUSD  M1 | 40000  (-0) | normal | Trades: 5420
EURUSD  M1 | 40000  (-0) | normal | Trades: 5210
EURUSD  M1 | 40000  (-0) | normal | Trades: 5015
EURUSD  M1 | 40000  (-0) | normal | Trades: 4841
EURUSD  M1 | 40000  (-0) | normal | Trades: 6444
EURUSD  M1 | 40000  (-0) | normal | Trades: 6167
EURUSD  M1 | 40000  (-0) | normal | Trades: 5883
EURUSD  M1 | 40000  (-0) | normal | Trades: 5689
EURUSD  M1 | 40000  (-0) | normal | Trades: 5468
EURUSD  M1 | 40000  (-0) | normal | Trades: 5989
EURUSD  M1 | 40000  (-0) | normal | Trades: 5731
EURUSD  M1 | 40000  (-0) | normal | Trades: 5487
EURUSD  M1 | 40000  (-0) | normal | Trades: 5313
EURUSD  M1 | 40000  (-0) | normal | Trades: 5173
EURUSD  M1 | 40000  (-0) | normal | Trades: 5645
EURUSD  M1 | 40000  (-0) | normal | Trades: 5420
EURUSD  M1 | 40000  (-0) | normal | Trades: 5210
EURUSD  M1 | 40000  (-0) | normal | Trades: 5015
EURUSD  M1 | 40000  (-0) | normal | Trades: 4841
EURUSD  M1 | 40000  (-0) | normal | Trades: 5387
EURUSD  M1 | 40000  (-0) | normal | Trades: 5132
EURUSD  M1 | 40000  (-0) | normal | Trades: 4932
EURUSD  M1 | 40000  (-0) | normal | Trades: 4750
EURUSD  M1 | 40000  (-0) | normal | Trades: 4597
EURUSD  M1 | 40000  (-0) | normal | Trades: 5989
EURUSD  M1 | 40000  (-0) | normal | Trades: 5731
EURUSD  M1 | 40000  (-0) | normal | Trades: 5487
EURUSD  M1 | 40000  (-0) | normal | Trades: 5313
EURUSD  M1 | 40000  (-0) | normal | Trades: 5173
EURUSD  M1 | 40000  (-0) | normal | Trades: 5645
EURUSD  M1 | 40000  (-0) | normal | Trades: 5420
EURUSD  M1 | 40000  (-0) | normal | Trades: 5210
EURUSD  M1 | 40000  (-0) | normal | Trades: 5015
EURUSD  M1 | 40000  (-0) | normal | Trades: 4841
EURUSD  M1 | 40000  (-0) | normal | Trades: 5387
EURUSD  M1 | 40000  (-0) | normal | Trades: 5132
EURUSD  M1 | 40000  (-0) | normal | Trades: 4932
