dataspan = 30.000 (!)

___   CCI-chwin: 2   ___

chval-th: 5
EURUSD  M1 | 30000  (-0) | normal | Trades: 15050
EURUSD  M1 | 30000  (-0) | normal | Trades: 15050
EURUSD  M1 | 30000  (-0) | normal | Trades: 14720
EURUSD  M1 | 30000  (-0) | normal | Trades: 14720
EURUSD  M1 | 30000  (-0) | normal | Trades: 14720
EURUSD  M1 | 30000  (-0) | normal | Trades: 14417
EURUSD  M1 | 30000  (-0) | normal | Trades: 14149
EURUSD  M1 | 30000  (-0) | normal | Trades: 13916
chval-th: 25
EURUSD  M1 | 30000  (-0) | normal | Trades: 14734
EURUSD  M1 | 30000  (-0) | normal | Trades: 14312
EURUSD  M1 | 30000  (-0) | normal | Trades: 14312
EURUSD  M1 | 30000  (-0) | normal | Trades: 14312
EURUSD  M1 | 30000  (-0) | normal | Trades: 13957
EURUSD  M1 | 30000  (-0) | normal | Trades: 13957
EURUSD  M1 | 30000  (-0) | normal | Trades: 13957
EURUSD  M1 | 30000  (-0) | normal | Trades: 13599
EURUSD  M1 | 30000  (-0) | normal | Trades: 13241
EURUSD  M1 | 30000  (-0) | normal | Trades: 12962
chval-th: 33
EURUSD  M1 | 30000  (-0) | normal | Trades: 14090
EURUSD  M1 | 30000  (-0) | normal | Trades: 13595
EURUSD  M1 | 30000  (-0) | normal | Trades: 13595
EURUSD  M1 | 30000  (-0) | normal | Trades: 13595
EURUSD  M1 | 30000  (-0) | normal | Trades: 13158
EURUSD  M1 | 30000  (-0) | normal | Trades: 13158
EURUSD  M1 | 30000  (-0) | normal | Trades: 13158
EURUSD  M1 | 30000  (-0) | normal | Trades: 12778
EURUSD  M1 | 30000  (-0) | normal | Trades: 12389
EURUSD  M1 | 30000  (-0) | normal | Trades: 12055
chval-th: 40
EURUSD  M1 | 30000  (-0) | normal | Trades: 13556
EURUSD  M1 | 30000  (-0) | normal | Trades: 12954
EURUSD  M1 | 30000  (-0) | normal | Trades: 12954
EURUSD  M1 | 30000  (-0) | normal | Trades: 12954
EURUSD  M1 | 30000  (-0) | normal | Trades: 12506
