dataspan: 99900
'bbands_chwin_out': 1
BB-win: 2-50:

EURUSD  M1 | 99900  (-0) | normal | Trades: 7738
EURUSD  M1 | 99900  (-0) | normal | Trades: 7737
EURUSD  M1 | 99900  (-0) | normal | Trades: 7742
EURUSD  M1 | 99900  (-0) | normal | Trades: 7745
EURUSD  M1 | 99900  (-0) | normal | Trades: 7743
EURUSD  M1 | 99900  (-0) | normal | Trades: 7755
EURUSD  M1 | 99900  (-0) | normal | Trades: 7743   (110)
EURUSD  M1 | 99900  (-0) | normal | Trades: 7751
EURUSD  M1 | 99900  (-0) | normal | Trades: 7754
EURUSD  M1 | 99900  (-0) | normal | Trades: 7747
EURUSD  M1 | 99900  (-0) | normal | Trades: 7756
EURUSD  M1 | 99900  (-0) | normal | Trades: 7763
EURUSD  M1 | 99900  (-0) | normal | Trades: 7766   (116)  --> best score
EURUSD  M1 | 99900  (-0) | normal | Trades: 7794
EURUSD  M1 | 99900  (-0) | normal | Trades: 7780
EURUSD  M1 | 99900  (-0) | normal | Trades: 7765
EURUSD  M1 | 99900  (-0) | normal | Trades: 7782   (120)
-----------------------------------
Optimization Loop ID:  "D"
EURUSD  M1 | 99900  (-0) | normal | Trades: 7766   (121)
EURUSD  M1 | 99900  (-0) | normal | Trades: 7775
EURUSD  M1 | 99900  (-0) | normal | Trades: 7763
EURUSD  M1 | 99900  (-0) | normal | Trades: 7787
EURUSD  M1 | 99900  (-0) | normal | Trades: 7802
EURUSD  M1 | 99900  (-0) | normal | Trades: 7820
EURUSD  M1 | 99900  (-0) | normal | Trades: 7821
EURUSD  M1 | 99900  (-0) | normal | Trades: 7803
EURUSD  M1 | 99900  (-0) | normal | Trades: 7823
EURUSD  M1 | 99900  (-0) | normal | Trades: 7836   (130)
EURUSD  M1 | 99900  (-0) | normal | Trades: 7858
EURUSD  M1 | 99900  (-0) | normal | Trades: 7859
EURUSD  M1 | 99900  (-0) | normal | Trades: 7859
EURUSD  M1 | 99900  (-0) | normal | Trades: 7851
EURUSD  M1 | 99900  (-0) | normal | Trades: 7869
EURUSD  M1 | 99900  (-0) | normal | Trades: 7879
EURUSD  M1 | 99900  (-0) | normal | Trades: 7881
EURUSD  M1 | 99900  (-0) | normal | Trades: 7879
EURUSD  M1 | 99900  (-0) | normal | Trades: 7889
EURUSD  M1 | 99900  (-0) | normal | Trades: 7894   (140)
EURUSD  M1 | 99900  (-0) | normal | Trades: 7888
EURUSD  M1 | 99900  (-0) | normal | Trades: 7899
EURUSD  M1 | 99900  (-0) | normal | Trades: 7910
EURUSD  M1 | 99900  (-0) | normal | Trades: 7919
EURUSD  M1 | 99900  (-0) | normal | Trades: 7924
EURUSD  M1 | 99900  (-0) | normal | Trades: 7931
EURUSD  M1 | 99900  (-0) | normal | Trades: 7945
EURUSD  M1 | 99900  (-0) | normal | Trades: 7962
EURUSD  M1 | 99900  (-0) | normal | Trades: 7968
EURUSD  M1 | 99900  (-0) | normal | Trades: 7977   (150)
EURUSD  M1 | 99900  (-0) | normal | Trades: 7981
EURUSD  M1 | 99900  (-0) | normal | Trades: 7974
EURUSD  M1 | 99900  (-0) | normal | Trades: 7972
EURUSD  M1 | 99900  (-0) | normal | Trades: 7986
EURUSD  M1 | 99900  (-0) | normal | Trades: 7982
EURUSD  M1 | 99900  (-0) | normal | Trades: 7992
EURUSD  M1 | 99900  (-0) | normal | Trades: 7987
EURUSD  M1 | 99900  (-0) | normal | Trades: 7990
EURUSD  M1 | 99900  (-0) | normal | Trades: 8014
EURUSD  M1 | 99900  (-0) | normal | Trades: 8010   (160)
-----------------------------------
