dataspan: 30.000,   combo_chwin: 2,   minTSLdist: 12


chval_th: 2
EURUSD  M1 | 30000  (-0) | normal | Trades: 4
EURUSD  M1 | 30000  (-0) | normal | Trades: 28
EURUSD  M1 | 30000  (-0) | normal | Trades: 65
EURUSD  M1 | 30000  (-0) | normal | Trades: 1
EURUSD  M1 | 30000  (-0) | normal | Trades: 9
EURUSD  M1 | 30000  (-0) | normal | Trades: 1
EURUSD  M1 | 30000  (-0) | normal | Trades: 596
EURUSD  M1 | 30000  (-0) | normal | Trades: 2448

EURUSD  M1 | 30000  (-0) | normal | Trades: 4055
EURUSD  M1 | 30000  (-0) | normal | Trades: 5235
EURUSD  M1 | 30000  (-0) | normal | Trades: 6106
EURUSD  M1 | 30000  (-0) | normal | Trades: 6729
EURUSD  M1 | 30000  (-0) | normal | Trades: 131
EURUSD  M1 | 30000  (-0) | normal | Trades: 804
EURUSD  M1 | 30000  (-0) | normal | Trades: 1704
EURUSD  M1 | 30000  (-0) | normal | Trades: 2564
EURUSD  M1 | 30000  (-0) | normal | Trades: 3265
EURUSD  M1 | 30000  (-0) | normal | Trades: 44

EURUSD  M1 | 30000  (-0) | normal | Trades: 264
EURUSD  M1 | 30000  (-0) | normal | Trades: 680
EURUSD  M1 | 30000  (-0) | normal | Trades: 1168
EURUSD  M1 | 30000  (-0) | normal | Trades: 13
EURUSD  M1 | 30000  (-0) | normal | Trades: 103
EURUSD  M1 | 30000  (-0) | normal | Trades: 277
EURUSD  M1 | 30000  (-0) | normal | Trades: 4
EURUSD  M1 | 30000  (-0) | normal | Trades: 44
EURUSD  M1 | 30000  (-0) | normal | Trades: 3
EURUSD  M1 | 30000  (-0) | normal | Trades: 243

EURUSD  M1 | 30000  (-0) | normal | Trades: 1344
EURUSD  M1 | 30000  (-0) | normal | Trades: 2690
EURUSD  M1 | 30000  (-0) | normal | Trades: 3777
EURUSD  M1 | 30000  (-0) | normal | Trades: 4632
EURUSD  M1 | 30000  (-0) | normal | Trades: 73
EURUSD  M1 | 30000  (-0) | normal | Trades: 515
EURUSD  M1 | 30000  (-0) | normal | Trades: 1203
EURUSD  M1 | 30000  (-0) | normal | Trades: 1951
EURUSD  M1 | 30000  (-0) | normal | Trades: 33
